Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost,Comment
0,retailer,0,0,0,0,0,0,
0,wholesaler,0,0,0,0,0,0,
0,distributor,0,0,0,0,0,0,
0,manufacturer,0,0,0,0,0,0,
1,retailer,0,2,0,-2,0.0,0.0,
1,wholesaler,0,0,0,0,0.0,0.0,
1,distributor,0,0,0,0,0.0,0.0,
1,manufacturer,0,0,0,0,0.0,0.0,
2,retailer,-2,4,0,-6,17.0,0.0,
2,wholesaler,0,0,0,0,0.0,0.0,
2,distributor,0,0,0,0,0.0,0.0,
2,manufacturer,0,0,0,0,0.0,0.0,
3,retailer,-6,2,0,-8,51.0,0.0,
3,wholesaler,0,0,0,0,0.0,0.0,
3,distributor,0,0,0,0,0.0,0.0,
3,manufacturer,0,0,0,0,0.0,0.0,
4,retailer,-8,2,0,-10,68.0,0.0,
4,wholesaler,0,0,0,0,0.0,0.0,
4,distributor,0,0,0,0,0.0,0.0,
4,manufacturer,0,0,0,0,0.0,0.0,
5,retailer,-10,2,0,-12,85.0,0.0,
5,wholesaler,0,0,0,0,0.0,0.0,
5,distributor,0,0,0,0,0.0,0.0,
5,manufacturer,0,0,0,0,0.0,0.0,
6,retailer,-12,3,0,-15,102.0,0.0,
6,wholesaler,0,0,0,0,0.0,0.0,
6,distributor,0,0,0,0,0.0,0.0,
6,manufacturer,0,0,0,0,0.0,0.0,
7,retailer,-15,4,0,-19,127.5,0.0,
7,wholesaler,0,0,0,0,0.0,0.0,
7,distributor,0,0,0,0,0.0,0.0,
7,manufacturer,0,0,0,0,0.0,0.0,
8,retailer,-19,5,0,-24,161.5,0.0,
8,wholesaler,0,0,0,0,0.0,0.0,
8,distributor,0,0,0,0,0.0,0.0,
8,manufacturer,0,0,0,0,0.0,0.0,
9,retailer,-24,3,0,-27,204.0,0.0,
9,wholesaler,0,0,0,0,0.0,0.0,
9,distributor,0,0,0,0,0.0,0.0,
9,manufacturer,0,0,0,0,0.0,0.0,
10,retailer,-27,3,0,-30,229.5,0.0,
10,wholesaler,0,0,0,0,0.0,0.0,
10,distributor,0,0,0,0,0.0,0.0,
10,manufacturer,0,0,0,0,0.0,0.0,
11,retailer,-30,4,0,-34,255.0,0.0,
11,wholesaler,0,0,0,0,0.0,0.0,
11,distributor,0,0,0,0,0.0,0.0,
11,manufacturer,0,0,0,0,0.0,0.0,
12,retailer,-34,4,0,-38,289.0,0.0,
12,wholesaler,0,0,0,0,0.0,0.0,
12,distributor,0,0,0,0,0.0,0.0,
12,manufacturer,0,0,0,0,0.0,0.0,
13,retailer,-38,4,0,-42,323.0,0.0,
13,wholesaler,0,0,0,0,0.0,0.0,
13,distributor,0,0,0,0,0.0,0.0,
13,manufacturer,0,0,0,0,0.0,0.0,
14,retailer,-42,5,0,-47,357.0,0.0,
14,wholesaler,0,0,0,0,0.0,0.0,
14,distributor,0,0,0,0,0.0,0.0,
14,manufacturer,0,0,0,0,0.0,0.0,
15,retailer,-47,4,0,-51,399.5,0.0,
15,wholesaler,0,0,0,0,0.0,0.0,
15,distributor,0,0,0,0,0.0,0.0,
15,manufacturer,0,0,0,0,0.0,0.0,
16,retailer,-51,3,0,-54,433.5,0.0,
16,wholesaler,0,0,0,0,0.0,0.0,
16,distributor,0,0,0,0,0.0,0.0,
16,manufacturer,0,0,0,0,0.0,0.0,
17,retailer,-54,3,0,-57,459.0,0.0,
17,wholesaler,0,0,0,0,0.0,0.0,
17,distributor,0,0,0,0,0.0,0.0,
17,manufacturer,0,0,0,0,0.0,0.0,
