Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost,Comment
0,retailer,0,0,0,0,0,0,
0,wholesaler,0,0,0,0,0,0,
0,distributor,0,0,0,0,0,0,
0,manufacturer,4,0,0,4,0,0,
1,retailer,0,4,0,-4,0.0,0.0,
1,wholesaler,0,0,0,0,0.0,0.0,
1,distributor,0,0,0,0,0.0,0.0,
1,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
2,retailer,-4,4,0,-8,20.0,0.0,
2,wholesaler,0,0,0,0,0.0,0.0,
2,distributor,0,0,0,0,0.0,0.0,
2,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
3,retailer,-8,4,0,-12,40.0,0.0,
3,wholesaler,0,0,0,0,0.0,0.0,
3,distributor,0,0,0,0,0.0,0.0,
3,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
4,retailer,-12,4,0,-16,60.0,0.0,
4,wholesaler,0,0,0,0,0.0,0.0,
4,distributor,0,0,0,0,0.0,0.0,
4,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
5,retailer,-16,4,0,-20,80.0,0.0,
5,wholesaler,0,0,0,0,0.0,0.0,
5,distributor,0,0,0,0,0.0,0.0,
5,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
6,retailer,-20,4,0,-24,100.0,0.0,
6,wholesaler,0,0,0,0,0.0,0.0,
6,distributor,0,0,0,0,0.0,0.0,
6,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
7,retailer,-24,4,0,-28,120.0,0.0,
7,wholesaler,0,0,0,0,0.0,0.0,
7,distributor,0,0,0,0,0.0,0.0,
7,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
8,retailer,-28,4,0,-32,140.0,0.0,
8,wholesaler,0,0,0,0,0.0,0.0,
8,distributor,0,0,0,0,0.0,0.0,
8,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
9,retailer,-32,4,0,-36,160.0,0.0,
9,wholesaler,0,0,0,0,0.0,0.0,
9,distributor,0,0,0,0,0.0,0.0,
9,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
10,retailer,-36,4,0,-40,180.0,0.0,
10,wholesaler,0,0,0,0,0.0,0.0,
10,distributor,0,0,0,0,0.0,0.0,
10,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
11,retailer,-40,4,0,-44,200.0,0.0,
11,wholesaler,0,0,0,0,0.0,0.0,
11,distributor,0,0,0,0,0.0,0.0,
11,manufacturer,4,0,0,4,0.0,2.0,[Manufacturer] Naive damped | demand=0.0 end_inv=4.0 tgt=0.0 bleed=1.00 order_qty=0
12,retailer,-44,4,0,-48,220.0,0.0,
