Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost,Comment
0,retailer,0,0,0,0,0,0,
0,wholesaler,0,0,0,0,0,0,
0,distributor,0,0,0,0,0,0,
0,manufacturer,0,0,0,0,0,0,
1,retailer,0,5,0,-5,0.0,0.0,
1,wholesaler,0,0,0,0,0.0,0.0,
1,distributor,0,0,0,0,0.0,0.0,
1,manufacturer,0,0,0,0,0.0,0.0,
2,retailer,-5,7,0,-12,42.5,0.0,
2,wholesaler,0,0,0,0,0.0,0.0,
2,distributor,0,0,0,0,0.0,0.0,
2,manufacturer,0,0,0,0,0.0,0.0,
3,retailer,-12,3,0,-15,102.0,0.0,
3,wholesaler,0,0,0,0,0.0,0.0,
3,distributor,0,0,0,0,0.0,0.0,
3,manufacturer,0,0,0,0,0.0,0.0,
4,retailer,-15,3,0,-18,127.5,0.0,
4,wholesaler,0,0,0,0,0.0,0.0,
4,distributor,0,0,0,0,0.0,0.0,
4,manufacturer,0,0,0,0,0.0,0.0,
5,retailer,-18,4,0,-22,153.0,0.0,
5,wholesaler,0,0,0,0,0.0,0.0,
5,distributor,0,0,0,0,0.0,0.0,
5,manufacturer,0,0,0,0,0.0,0.0,
6,retailer,-22,6,0,-28,187.0,0.0,
6,wholesaler,0,0,0,0,0.0,0.0,
6,distributor,0,0,0,0,0.0,0.0,
6,manufacturer,0,0,0,0,0.0,0.0,
7,retailer,-28,2,0,-30,238.0,0.0,
7,wholesaler,0,0,0,0,0.0,0.0,
7,distributor,0,0,0,0,0.0,0.0,
7,manufacturer,0,0,0,0,0.0,0.0,
8,retailer,-30,4,0,-34,255.0,0.0,
8,wholesaler,0,0,0,0,0.0,0.0,
8,distributor,0,0,0,0,0.0,0.0,
8,manufacturer,0,0,0,0,0.0,0.0,
9,retailer,-34,6,0,-40,289.0,0.0,
9,wholesaler,0,0,0,0,0.0,0.0,
9,distributor,0,0,0,0,0.0,0.0,
9,manufacturer,0,0,0,0,0.0,0.0,
10,retailer,-40,3,0,-43,340.0,0.0,
10,wholesaler,0,0,0,0,0.0,0.0,
10,distributor,0,0,0,0,0.0,0.0,
10,manufacturer,0,0,0,0,0.0,0.0,
11,retailer,-43,5,0,-48,365.5,0.0,
11,wholesaler,0,0,0,0,0.0,0.0,
11,distributor,0,0,0,0,0.0,0.0,
11,manufacturer,0,0,0,0,0.0,0.0,
12,retailer,-48,4,0,-52,408.0,0.0,
12,wholesaler,0,0,0,0,0.0,0.0,
12,distributor,0,0,0,0,0.0,0.0,
12,manufacturer,0,0,0,0,0.0,0.0,
13,retailer,-52,4,0,-56,442.0,0.0,
13,wholesaler,0,0,0,0,0.0,0.0,
13,distributor,0,0,0,0,0.0,0.0,
13,manufacturer,0,0,0,0,0.0,0.0,
14,retailer,-56,6,0,-62,476.0,0.0,
14,wholesaler,0,0,0,0,0.0,0.0,
14,distributor,0,0,0,0,0.0,0.0,
14,manufacturer,0,0,0,0,0.0,0.0,
15,retailer,-62,3,0,-65,527.0,0.0,
15,wholesaler,0,0,0,0,0.0,0.0,
15,distributor,0,0,0,0,0.0,0.0,
15,manufacturer,0,0,0,0,0.0,0.0,
16,retailer,-65,3,0,-68,552.5,0.0,
16,wholesaler,0,0,0,0,0.0,0.0,
16,distributor,0,0,0,0,0.0,0.0,
16,manufacturer,0,0,0,0,0.0,0.0,
17,retailer,-68,5,0,-73,578.0,0.0,
17,wholesaler,0,0,0,0,0.0,0.0,
17,distributor,0,0,0,0,0.0,0.0,
17,manufacturer,0,0,0,0,0.0,0.0,
