Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost,Comment
0,retailer,0,0,0,0,0,0,
0,wholesaler,0,0,0,0,0,0,
0,distributor,0,0,0,0,0,0,
0,manufacturer,0,0,0,0,0,0,
1,retailer,0,6,0,-6,0.0,0.0,
1,wholesaler,0,0,0,0,0.0,0.0,
1,distributor,0,0,0,0,0.0,0.0,
1,manufacturer,0,0,0,0,0.0,0.0,
2,retailer,-6,4,0,-10,51.0,0.0,
2,wholesaler,0,0,0,0,0.0,0.0,
2,distributor,0,0,0,0,0.0,0.0,
2,manufacturer,0,0,0,0,0.0,0.0,
3,retailer,-10,3,0,-13,85.0,0.0,
3,wholesaler,0,0,0,0,0.0,0.0,
3,distributor,0,0,0,0,0.0,0.0,
3,manufacturer,0,0,0,0,0.0,0.0,
4,retailer,-13,3,0,-16,110.5,0.0,
4,wholesaler,0,0,0,0,0.0,0.0,
4,distributor,0,0,0,0,0.0,0.0,
4,manufacturer,0,0,0,0,0.0,0.0,
5,retailer,-16,3,0,-19,136.0,0.0,
5,wholesaler,0,0,0,0,0.0,0.0,
5,distributor,0,0,0,0,0.0,0.0,
5,manufacturer,0,0,0,0,0.0,0.0,
6,retailer,-19,2,0,-21,161.5,0.0,
6,wholesaler,0,0,0,0,0.0,0.0,
6,distributor,0,0,0,0,0.0,0.0,
6,manufacturer,0,0,0,0,0.0,0.0,
7,retailer,-21,2,0,-23,178.5,0.0,
7,wholesaler,0,0,0,0,0.0,0.0,
7,distributor,0,0,0,0,0.0,0.0,
7,manufacturer,0,0,0,0,0.0,0.0,
8,retailer,-23,5,0,-28,195.5,0.0,
8,wholesaler,0,0,0,0,0.0,0.0,
8,distributor,0,0,0,0,0.0,0.0,
8,manufacturer,0,0,0,0,0.0,0.0,
9,retailer,-28,4,0,-32,238.0,0.0,
9,wholesaler,0,0,0,0,0.0,0.0,
9,distributor,0,0,0,0,0.0,0.0,
9,manufacturer,0,0,0,0,0.0,0.0,
10,retailer,-32,3,0,-35,272.0,0.0,
10,wholesaler,0,0,0,0,0.0,0.0,
10,distributor,0,0,0,0,0.0,0.0,
10,manufacturer,0,0,0,0,0.0,0.0,
11,retailer,-35,2,0,-37,297.5,0.0,
11,wholesaler,0,0,0,0,0.0,0.0,
11,distributor,0,0,0,0,0.0,0.0,
11,manufacturer,0,0,0,0,0.0,0.0,
12,retailer,-37,2,0,-39,314.5,0.0,
12,wholesaler,0,0,0,0,0.0,0.0,
12,distributor,0,0,0,0,0.0,0.0,
12,manufacturer,0,0,0,0,0.0,0.0,
13,retailer,-39,5,0,-44,331.5,0.0,
13,wholesaler,0,0,0,0,0.0,0.0,
13,distributor,0,0,0,0,0.0,0.0,
13,manufacturer,0,0,0,0,0.0,0.0,
14,retailer,-44,3,0,-47,374.0,0.0,
14,wholesaler,0,0,0,0,0.0,0.0,
14,distributor,0,0,0,0,0.0,0.0,
14,manufacturer,0,0,0,0,0.0,0.0,
15,retailer,-47,3,0,-50,399.5,0.0,
15,wholesaler,0,0,0,0,0.0,0.0,
15,distributor,0,0,0,0,0.0,0.0,
15,manufacturer,0,0,0,0,0.0,0.0,
16,retailer,-50,3,0,-53,425.0,0.0,
16,wholesaler,0,0,0,0,0.0,0.0,
16,distributor,0,0,0,0,0.0,0.0,
16,manufacturer,0,0,0,0,0.0,0.0,
17,retailer,-53,5,0,-58,450.5,0.0,
17,wholesaler,0,0,0,0,0.0,0.0,
17,distributor,0,0,0,0,0.0,0.0,
17,manufacturer,0,0,0,0,0.0,0.0,
