Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost
0,retailer,5,0,0,5,0,0
0,wholesaler,5,0,0,5,0,0
0,distributor,5,0,0,5,0,0
0,manufacturer,5,0,0,5,0,0
1,retailer,5,4,0,1,0.0,2.5
1,wholesaler,5,2,0,3,0.0,2.5
1,distributor,5,2,0,3,0.0,2.5
1,manufacturer,5,2,0,3,0.0,2.5
2,retailer,1,4,2,-1,0.0,0.5
2,wholesaler,3,2,2,3,0.0,1.5
2,distributor,3,1,2,4,0.0,1.5
2,manufacturer,3,1,2,4,0.0,1.5
3,retailer,-1,4,2,-3,5.0,0.0
3,wholesaler,3,2,1,2,0.0,1.5
3,distributor,4,1,1,4,0.0,2.0
3,manufacturer,4,1,1,4,0.0,2.0
4,retailer,-3,4,2,-5,15.0,0.0
4,wholesaler,2,2,1,1,0.0,1.0
4,distributor,4,1,1,4,0.0,2.0
4,manufacturer,4,1,1,4,0.0,2.0
5,retailer,-5,4,2,-7,25.0,0.0
5,wholesaler,1,2,1,0,0.0,0.5
5,distributor,4,1,1,4,0.0,2.0
5,manufacturer,4,1,1,4,0.0,2.0
6,retailer,-7,4,2,-9,35.0,0.0
6,wholesaler,0,2,1,-1,0.0,0.0
6,distributor,4,1,1,4,0.0,2.0
6,manufacturer,4,1,1,4,0.0,2.0
7,retailer,-9,4,2,-11,45.0,0.0
7,wholesaler,-1,2,1,-2,5.0,0.0
7,distributor,4,1,1,4,0.0,2.0
7,manufacturer,4,1,1,4,0.0,2.0
8,retailer,-11,4,2,-13,55.0,0.0
8,wholesaler,-2,2,1,-3,10.0,0.0
8,distributor,4,1,1,4,0.0,2.0
8,manufacturer,4,1,1,4,0.0,2.0
9,retailer,-13,4,2,-15,65.0,0.0
9,wholesaler,-3,2,1,-4,15.0,0.0
9,distributor,4,1,1,4,0.0,2.0
9,manufacturer,4,1,1,4,0.0,2.0
10,retailer,-15,4,2,-17,75.0,0.0
10,wholesaler,-4,2,1,-5,20.0,0.0
10,distributor,4,1,1,4,0.0,2.0
10,manufacturer,4,1,1,4,0.0,2.0
11,retailer,-17,4,2,-19,85.0,0.0
11,wholesaler,-5,2,1,-6,25.0,0.0
11,distributor,4,1,1,4,0.0,2.0
11,manufacturer,4,1,1,4,0.0,2.0
12,retailer,-19,4,2,-21,95.0,0.0
12,wholesaler,-6,2,1,-7,30.0,0.0
12,distributor,4,1,1,4,0.0,2.0
12,manufacturer,4,1,1,4,0.0,2.0
13,retailer,-21,4,2,-23,105.0,0.0
13,wholesaler,-7,2,1,-8,35.0,0.0
13,distributor,4,1,1,4,0.0,2.0
13,manufacturer,4,1,1,4,0.0,2.0
14,retailer,-23,4,2,-25,115.0,0.0
14,wholesaler,-8,2,1,-9,40.0,0.0
14,distributor,4,1,1,4,0.0,2.0
14,manufacturer,4,1,1,4,0.0,2.0
15,retailer,-25,12,2,-35,125.0,0.0
15,wholesaler,-9,5,1,-13,45.0,0.0
15,distributor,4,2,1,3,0.0,2.0
15,manufacturer,4,2,1,3,0.0,2.0
16,retailer,-35,12,5,-42,175.0,0.0
16,wholesaler,-13,8,2,-19,65.0,0.0
16,distributor,3,2,2,3,0.0,1.5
16,manufacturer,3,2,2,3,0.0,1.5
17,retailer,-42,12,8,-46,210.0,0.0
17,wholesaler,-19,10,2,-27,95.0,0.0
17,distributor,3,3,2,2,0.0,1.5
17,manufacturer,3,3,2,2,0.0,1.5
18,retailer,-46,12,10,-48,230.0,0.0
18,wholesaler,-27,11,3,-35,135.0,0.0
18,distributor,2,4,3,1,0.0,1.0
18,manufacturer,2,4,3,1,0.0,1.0
19,retailer,-48,12,11,-49,240.0,0.0
19,wholesaler,-35,11,4,-42,175.0,0.0
19,distributor,1,5,4,0,0.0,0.5
19,manufacturer,1,5,4,0,0.0,0.5
20,retailer,-49,12,11,-50,245.0,0.0
20,wholesaler,-42,12,5,-49,210.0,0.0
20,distributor,0,6,5,-1,0.0,0.0
20,manufacturer,0,6,5,-1,0.0,0.0
21,retailer,-50,12,12,-50,250.0,0.0
21,wholesaler,-49,12,6,-55,245.0,0.0
21,distributor,-1,7,6,-2,5.0,0.0
21,manufacturer,-1,7,6,-2,5.0,0.0
22,retailer,-50,12,12,-50,250.0,0.0
22,wholesaler,-55,12,7,-60,275.0,0.0
22,distributor,-2,8,7,-3,10.0,0.0
22,manufacturer,-2,7,7,-2,10.0,0.0
23,retailer,-50,12,12,-50,250.0,0.0
23,wholesaler,-60,12,8,-64,300.0,0.0
23,distributor,-3,8,7,-4,15.0,0.0
23,manufacturer,-2,7,7,-2,10.0,0.0
24,retailer,-50,12,12,-50,250.0,0.0
24,wholesaler,-64,12,8,-68,320.0,0.0
24,distributor,-4,8,7,-5,20.0,0.0
24,manufacturer,-2,8,7,-3,10.0,0.0
25,retailer,-50,12,12,-50,250.0,0.0
25,wholesaler,-68,12,8,-72,340.0,0.0
25,distributor,-5,9,8,-6,25.0,0.0
25,manufacturer,-3,8,7,-4,15.0,0.0
26,retailer,-50,12,12,-50,250.0,0.0
26,wholesaler,-72,12,9,-75,360.0,0.0
26,distributor,-6,9,8,-7,30.0,0.0
26,manufacturer,-4,8,7,-5,20.0,0.0
27,retailer,-50,12,12,-50,250.0,0.0
27,wholesaler,-75,12,9,-78,375.0,0.0
27,distributor,-7,9,8,-8,35.0,0.0
27,manufacturer,-5,8,7,-6,25.0,0.0
28,retailer,-50,12,12,-50,250.0,0.0
28,wholesaler,-78,12,9,-81,390.0,0.0
28,distributor,-8,9,8,-9,40.0,0.0
28,manufacturer,-6,8,7,-7,30.0,0.0
29,retailer,-50,12,12,-50,250.0,0.0
29,wholesaler,-81,12,9,-84,405.0,0.0
29,distributor,-9,9,8,-10,45.0,0.0
29,manufacturer,-7,8,7,-8,35.0,0.0
30,retailer,-50,12,12,-50,250.0,0.0
30,wholesaler,-84,12,9,-87,420.0,0.0
30,distributor,-10,9,8,-11,50.0,0.0
30,manufacturer,-8,8,7,-9,40.0,0.0
31,retailer,-50,12,12,-50,250.0,0.0
31,wholesaler,-87,12,9,-90,435.0,0.0
31,distributor,-11,9,8,-12,55.0,0.0
31,manufacturer,-9,8,7,-10,45.0,0.0
32,retailer,-50,12,12,-50,250.0,0.0
32,wholesaler,-90,12,9,-93,450.0,0.0
32,distributor,-12,9,8,-13,60.0,0.0
32,manufacturer,-10,8,7,-11,50.0,0.0
33,retailer,-50,12,12,-50,250.0,0.0
33,wholesaler,-93,12,9,-96,465.0,0.0
33,distributor,-13,9,8,-14,65.0,0.0
33,manufacturer,-11,8,8,-11,55.0,0.0
34,retailer,-50,12,12,-50,250.0,0.0
34,wholesaler,-96,12,9,-99,480.0,0.0
34,distributor,-14,9,8,-15,70.0,0.0
34,manufacturer,-11,8,8,-11,55.0,0.0
35,retailer,-50,12,12,-50,250.0,0.0
35,wholesaler,-99,12,9,-102,495.0,0.0
35,distributor,-15,9,8,-16,75.0,0.0
35,manufacturer,-11,8,8,-11,55.0,0.0
36,retailer,-50,12,12,-50,250.0,0.0
36,wholesaler,-102,12,9,-105,510.0,0.0
36,distributor,-16,9,8,-17,80.0,0.0
36,manufacturer,-11,8,8,-11,55.0,0.0
37,retailer,-50,12,12,-50,250.0,0.0
37,wholesaler,-105,12,9,-108,525.0,0.0
37,distributor,-17,9,8,-18,85.0,0.0
37,manufacturer,-11,8,8,-11,55.0,0.0
38,retailer,-50,12,12,-50,250.0,0.0
38,wholesaler,-108,12,9,-111,540.0,0.0
38,distributor,-18,9,8,-19,90.0,0.0
38,manufacturer,-11,8,8,-11,55.0,0.0
39,retailer,-50,12,12,-50,250.0,0.0
39,wholesaler,-111,12,9,-114,555.0,0.0
39,distributor,-19,9,8,-20,95.0,0.0
39,manufacturer,-11,8,8,-11,55.0,0.0
40,retailer,-50,12,12,-50,250.0,0.0
40,wholesaler,-114,12,9,-117,570.0,0.0
40,distributor,-20,9,8,-21,100.0,0.0
40,manufacturer,-11,8,8,-11,55.0,0.0
