Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost
0,retailer,5,0,0,5,0,0
0,wholesaler,5,0,0,5,0,0
0,distributor,5,0,0,5,0,0
0,manufacturer,5,0,0,5,0,0
1,retailer,5,4,0,1,0.0,2.5
1,wholesaler,5,3,0,2,0.0,2.5
1,distributor,5,3,0,2,0.0,2.5
1,manufacturer,5,3,0,2,0.0,2.5
2,retailer,1,4,3,0,0.0,0.5
2,wholesaler,2,3,3,2,0.0,1.0
2,distributor,2,2,3,3,0.0,1.0
2,manufacturer,2,2,3,3,0.0,1.0
3,retailer,0,4,3,-1,0.0,0.0
3,wholesaler,2,3,2,1,0.0,1.0
3,distributor,3,0,2,5,0.0,1.5
3,manufacturer,3,0,2,5,0.0,1.5
4,retailer,-1,4,3,-2,5.0,0.0
4,wholesaler,1,3,0,-2,0.0,0.5
4,distributor,5,3,0,2,0.0,2.5
4,manufacturer,5,3,0,2,0.0,2.5
5,retailer,-2,4,3,-3,10.0,0.0
5,wholesaler,-2,3,3,-2,10.0,0.0
5,distributor,2,2,3,3,0.0,1.0
5,manufacturer,2,2,3,3,0.0,1.0
6,retailer,-3,4,3,-4,15.0,0.0
6,wholesaler,-2,3,2,-3,10.0,0.0
6,distributor,3,0,2,5,0.0,1.5
6,manufacturer,3,0,2,5,0.0,1.5
7,retailer,-4,4,3,-5,20.0,0.0
7,wholesaler,-3,3,0,-6,15.0,0.0
7,distributor,5,3,0,2,0.0,2.5
7,manufacturer,5,3,0,2,0.0,2.5
8,retailer,-5,4,3,-6,25.0,0.0
8,wholesaler,-6,3,3,-6,30.0,0.0
8,distributor,2,2,3,3,0.0,1.0
8,manufacturer,2,2,3,3,0.0,1.0
9,retailer,-6,4,3,-7,30.0,0.0
9,wholesaler,-6,3,2,-7,30.0,0.0
9,distributor,3,0,2,5,0.0,1.5
9,manufacturer,3,0,2,5,0.0,1.5
10,retailer,-7,4,3,-8,35.0,0.0
10,wholesaler,-7,3,0,-10,35.0,0.0
10,distributor,5,3,0,2,0.0,2.5
10,manufacturer,5,3,0,2,0.0,2.5
11,retailer,-8,4,3,-9,40.0,0.0
11,wholesaler,-10,3,3,-10,50.0,0.0
11,distributor,2,2,3,3,0.0,1.0
11,manufacturer,2,2,3,3,0.0,1.0
12,retailer,-9,4,3,-10,45.0,0.0
12,wholesaler,-10,3,2,-11,50.0,0.0
12,distributor,3,0,2,5,0.0,1.5
12,manufacturer,3,0,2,5,0.0,1.5
13,retailer,-10,4,3,-11,50.0,0.0
13,wholesaler,-11,3,0,-14,55.0,0.0
13,distributor,5,3,0,2,0.0,2.5
13,manufacturer,5,3,0,2,0.0,2.5
14,retailer,-11,4,3,-12,55.0,0.0
14,wholesaler,-14,3,3,-14,70.0,0.0
14,distributor,2,2,3,3,0.0,1.0
14,manufacturer,2,2,3,3,0.0,1.0
15,retailer,-12,12,3,-21,60.0,0.0
15,wholesaler,-14,8,2,-20,70.0,0.0
15,distributor,3,0,2,5,0.0,1.5
15,manufacturer,3,0,2,5,0.0,1.5
16,retailer,-21,12,8,-25,105.0,0.0
16,wholesaler,-20,10,0,-30,100.0,0.0
16,distributor,5,3,0,2,0.0,2.5
16,manufacturer,5,3,0,2,0.0,2.5
17,retailer,-25,12,10,-27,125.0,0.0
17,wholesaler,-30,12,3,-39,150.0,0.0
17,distributor,2,2,3,3,0.0,1.0
17,manufacturer,2,2,3,3,0.0,1.0
18,retailer,-27,12,12,-27,135.0,0.0
18,wholesaler,-39,14,2,-51,195.0,0.0
18,distributor,3,0,2,5,0.0,1.5
18,manufacturer,3,0,2,5,0.0,1.5
19,retailer,-27,12,14,-25,135.0,0.0
19,wholesaler,-51,14,0,-65,255.0,0.0
19,distributor,5,3,0,2,0.0,2.5
19,manufacturer,5,3,0,2,0.0,2.5
20,retailer,-25,12,14,-23,125.0,0.0
20,wholesaler,-65,15,3,-77,325.0,0.0
20,distributor,2,2,3,3,0.0,1.0
20,manufacturer,2,2,3,3,0.0,1.0
21,retailer,-23,12,15,-20,115.0,0.0
21,wholesaler,-77,15,2,-90,385.0,0.0
21,distributor,3,0,2,5,0.0,1.5
21,manufacturer,3,0,2,5,0.0,1.5
22,retailer,-20,12,15,-17,100.0,0.0
22,wholesaler,-90,15,0,-105,450.0,0.0
22,distributor,5,3,0,2,0.0,2.5
22,manufacturer,5,3,0,2,0.0,2.5
23,retailer,-17,12,15,-14,85.0,0.0
23,wholesaler,-105,15,3,-117,525.0,0.0
23,distributor,2,2,3,3,0.0,1.0
23,manufacturer,2,2,3,3,0.0,1.0
24,retailer,-14,12,15,-11,70.0,0.0
24,wholesaler,-117,16,2,-131,585.0,0.0
24,distributor,3,0,2,5,0.0,1.5
24,manufacturer,3,0,2,5,0.0,1.5
25,retailer,-11,12,16,-7,55.0,0.0
25,wholesaler,-131,16,0,-147,655.0,0.0
25,distributor,5,3,0,2,0.0,2.5
25,manufacturer,5,3,0,2,0.0,2.5
26,retailer,-7,12,16,-3,35.0,0.0
26,wholesaler,-147,16,3,-160,735.0,0.0
26,distributor,2,2,3,3,0.0,1.0
26,manufacturer,2,2,3,3,0.0,1.0
27,retailer,-3,12,16,1,15.0,0.0
27,wholesaler,-160,16,2,-174,800.0,0.0
27,distributor,3,0,2,5,0.0,1.5
27,manufacturer,3,0,2,5,0.0,1.5
28,retailer,1,12,16,5,0.0,0.5
28,wholesaler,-174,16,0,-190,870.0,0.0
28,distributor,5,3,0,2,0.0,2.5
28,manufacturer,5,3,0,2,0.0,2.5
29,retailer,5,12,16,9,0.0,2.5
29,wholesaler,-190,16,3,-203,950.0,0.0
29,distributor,2,2,3,3,0.0,1.0
29,manufacturer,2,2,3,3,0.0,1.0
30,retailer,9,12,16,13,0.0,4.5
30,wholesaler,-203,16,2,-217,1015.0,0.0
30,distributor,3,0,2,5,0.0,1.5
30,manufacturer,3,0,2,5,0.0,1.5
31,retailer,13,12,16,17,0.0,6.5
31,wholesaler,-217,16,0,-233,1085.0,0.0
31,distributor,5,3,0,2,0.0,2.5
31,manufacturer,5,3,0,2,0.0,2.5
32,retailer,17,12,16,21,0.0,8.5
32,wholesaler,-233,16,3,-246,1165.0,0.0
32,distributor,2,2,3,3,0.0,1.0
32,manufacturer,2,2,3,3,0.0,1.0
33,retailer,21,12,16,25,0.0,10.5
33,wholesaler,-246,16,2,-260,1230.0,0.0
33,distributor,3,0,2,5,0.0,1.5
33,manufacturer,3,0,2,5,0.0,1.5
34,retailer,25,12,16,29,0.0,12.5
34,wholesaler,-260,16,0,-276,1300.0,0.0
34,distributor,5,3,0,2,0.0,2.5
34,manufacturer,5,3,0,2,0.0,2.5
35,retailer,29,12,16,33,0.0,14.5
35,wholesaler,-276,16,3,-289,1380.0,0.0
35,distributor,2,2,3,3,0.0,1.0
35,manufacturer,2,2,3,3,0.0,1.0
36,retailer,33,12,16,37,0.0,16.5
36,wholesaler,-289,16,2,-303,1445.0,0.0
36,distributor,3,0,2,5,0.0,1.5
36,manufacturer,3,0,2,5,0.0,1.5
37,retailer,37,12,16,41,0.0,18.5
37,wholesaler,-303,16,0,-319,1515.0,0.0
37,distributor,5,3,0,2,0.0,2.5
37,manufacturer,5,3,0,2,0.0,2.5
38,retailer,41,12,16,45,0.0,20.5
38,wholesaler,-319,16,3,-332,1595.0,0.0
38,distributor,2,2,3,3,0.0,1.0
38,manufacturer,2,2,3,3,0.0,1.0
39,retailer,45,12,16,49,0.0,22.5
39,wholesaler,-332,16,2,-346,1660.0,0.0
39,distributor,3,0,2,5,0.0,1.5
39,manufacturer,3,0,2,5,0.0,1.5
40,retailer,49,12,16,53,0.0,24.5
40,wholesaler,-346,16,0,-362,1730.0,0.0
40,distributor,5,3,0,2,0.0,2.5
40,manufacturer,5,3,0,2,0.0,2.5
