Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost,Comment
0,retailer,0,0,0,0,0,0,
0,wholesaler,0,0,0,0,0,0,
0,distributor,0,0,0,0,0,0,
0,manufacturer,0,0,0,0,0,0,
1,retailer,0,5,0,-5,0.0,0.0,
1,wholesaler,0,0,0,0,0.0,0.0,
1,distributor,0,0,0,0,0.0,0.0,
1,manufacturer,0,0,0,0,0.0,0.0,
2,retailer,-5,2,0,-7,42.5,0.0,
2,wholesaler,0,0,0,0,0.0,0.0,
2,distributor,0,0,0,0,0.0,0.0,
2,manufacturer,0,0,0,0,0.0,0.0,
3,retailer,-7,3,0,-10,59.5,0.0,
3,wholesaler,0,0,0,0,0.0,0.0,
3,distributor,0,0,0,0,0.0,0.0,
3,manufacturer,0,0,0,0,0.0,0.0,
4,retailer,-10,2,0,-12,85.0,0.0,
4,wholesaler,0,0,0,0,0.0,0.0,
4,distributor,0,0,0,0,0.0,0.0,
4,manufacturer,0,0,0,0,0.0,0.0,
5,retailer,-12,4,0,-16,102.0,0.0,
5,wholesaler,0,0,0,0,0.0,0.0,
5,distributor,0,0,0,0,0.0,0.0,
5,manufacturer,0,0,0,0,0.0,0.0,
6,retailer,-16,3,0,-19,136.0,0.0,
6,wholesaler,0,0,0,0,0.0,0.0,
6,distributor,0,0,0,0,0.0,0.0,
6,manufacturer,0,0,0,0,0.0,0.0,
7,retailer,-19,4,0,-23,161.5,0.0,
7,wholesaler,0,0,0,0,0.0,0.0,
7,distributor,0,0,0,0,0.0,0.0,
7,manufacturer,0,0,0,0,0.0,0.0,
8,retailer,-23,3,0,-26,195.5,0.0,
8,wholesaler,0,0,0,0,0.0,0.0,
8,distributor,0,0,0,0,0.0,0.0,
8,manufacturer,0,0,0,0,0.0,0.0,
9,retailer,-26,1,0,-27,221.0,0.0,
9,wholesaler,0,0,0,0,0.0,0.0,
9,distributor,0,0,0,0,0.0,0.0,
9,manufacturer,0,0,0,0,0.0,0.0,
10,retailer,-27,2,0,-29,229.5,0.0,
10,wholesaler,0,0,0,0,0.0,0.0,
10,distributor,0,0,0,0,0.0,0.0,
10,manufacturer,0,0,0,0,0.0,0.0,
11,retailer,-29,3,0,-32,246.5,0.0,
11,wholesaler,0,0,0,0,0.0,0.0,
11,distributor,0,0,0,0,0.0,0.0,
11,manufacturer,0,0,0,0,0.0,0.0,
12,retailer,-32,4,0,-36,272.0,0.0,
12,wholesaler,0,0,0,0,0.0,0.0,
12,distributor,0,0,0,0,0.0,0.0,
12,manufacturer,0,0,0,0,0.0,0.0,
13,retailer,-36,5,0,-41,306.0,0.0,
13,wholesaler,0,0,0,0,0.0,0.0,
13,distributor,0,0,0,0,0.0,0.0,
13,manufacturer,0,0,0,0,0.0,0.0,
14,retailer,-41,1,0,-42,348.5,0.0,
14,wholesaler,0,0,0,0,0.0,0.0,
14,distributor,0,0,0,0,0.0,0.0,
14,manufacturer,0,0,0,0,0.0,0.0,
15,retailer,-42,2,0,-44,357.0,0.0,
15,wholesaler,0,0,0,0,0.0,0.0,
15,distributor,0,0,0,0,0.0,0.0,
15,manufacturer,0,0,0,0,0.0,0.0,
16,retailer,-44,2,0,-46,374.0,0.0,
16,wholesaler,0,0,0,0,0.0,0.0,
16,distributor,0,0,0,0,0.0,0.0,
16,manufacturer,0,0,0,0,0.0,0.0,
17,retailer,-46,3,0,-49,391.0,0.0,
17,wholesaler,0,0,0,0,0.0,0.0,
17,distributor,0,0,0,0,0.0,0.0,
17,manufacturer,0,0,0,0,0.0,0.0,
