Round,Node,Starting Inventory,Demand,Supply,Ending Inventory,Backlog Cost,Holding Cost
0,retailer,0,0,0,0,0,0
0,wholesaler,0,0,0,0,0,0
0,distributor,0,0,0,0,0,0
0,manufacturer,0,0,0,0,0,0
1,retailer,0,4,0,-4,0.0,0.0
1,wholesaler,0,3,0,-3,0.0,0.0
1,distributor,0,1,0,-1,0.0,0.0
1,manufacturer,0,1,0,-1,0.0,0.0
2,retailer,-4,4,3,-5,20.0,0.0
2,wholesaler,-3,3,1,-5,15.0,0.0
2,distributor,-1,1,1,-1,5.0,0.0
2,manufacturer,-1,1,1,-1,5.0,0.0
3,retailer,-5,4,3,-6,25.0,0.0
3,wholesaler,-5,3,1,-7,25.0,0.0
3,distributor,-1,1,1,-1,5.0,0.0
3,manufacturer,-1,1,1,-1,5.0,0.0
4,retailer,-6,4,3,-7,30.0,0.0
4,wholesaler,-7,3,1,-9,35.0,0.0
4,distributor,-1,1,1,-1,5.0,0.0
4,manufacturer,-1,1,1,-1,5.0,0.0
5,retailer,-7,4,3,-8,35.0,0.0
5,wholesaler,-9,3,1,-11,45.0,0.0
5,distributor,-1,1,1,-1,5.0,0.0
5,manufacturer,-1,1,1,-1,5.0,0.0
6,retailer,-8,4,3,-9,40.0,0.0
6,wholesaler,-11,3,1,-13,55.0,0.0
6,distributor,-1,1,1,-1,5.0,0.0
6,manufacturer,-1,1,1,-1,5.0,0.0
7,retailer,-9,4,3,-10,45.0,0.0
7,wholesaler,-13,3,1,-15,65.0,0.0
7,distributor,-1,1,1,-1,5.0,0.0
7,manufacturer,-1,1,1,-1,5.0,0.0
8,retailer,-10,4,3,-11,50.0,0.0
8,wholesaler,-15,3,1,-17,75.0,0.0
8,distributor,-1,1,1,-1,5.0,0.0
8,manufacturer,-1,1,1,-1,5.0,0.0
9,retailer,-11,4,3,-12,55.0,0.0
9,wholesaler,-17,3,1,-19,85.0,0.0
9,distributor,-1,1,1,-1,5.0,0.0
9,manufacturer,-1,1,1,-1,5.0,0.0
10,retailer,-12,4,3,-13,60.0,0.0
10,wholesaler,-19,3,1,-21,95.0,0.0
10,distributor,-1,1,1,-1,5.0,0.0
10,manufacturer,-1,1,1,-1,5.0,0.0
11,retailer,-13,4,3,-14,65.0,0.0
11,wholesaler,-21,3,1,-23,105.0,0.0
11,distributor,-1,1,1,-1,5.0,0.0
11,manufacturer,-1,1,1,-1,5.0,0.0
12,retailer,-14,4,3,-15,70.0,0.0
12,wholesaler,-23,3,1,-25,115.0,0.0
12,distributor,-1,1,1,-1,5.0,0.0
12,manufacturer,-1,1,1,-1,5.0,0.0
13,retailer,-15,4,3,-16,75.0,0.0
13,wholesaler,-25,3,1,-27,125.0,0.0
13,distributor,-1,1,1,-1,5.0,0.0
13,manufacturer,-1,1,1,-1,5.0,0.0
14,retailer,-16,4,3,-17,80.0,0.0
14,wholesaler,-27,3,1,-29,135.0,0.0
14,distributor,-1,1,1,-1,5.0,0.0
14,manufacturer,-1,1,1,-1,5.0,0.0
15,retailer,-17,4,3,-18,85.0,0.0
15,wholesaler,-29,3,1,-31,145.0,0.0
15,distributor,-1,1,1,-1,5.0,0.0
15,manufacturer,-1,1,1,-1,5.0,0.0
16,retailer,-18,4,3,-19,90.0,0.0
16,wholesaler,-31,3,1,-33,155.0,0.0
16,distributor,-1,1,1,-1,5.0,0.0
16,manufacturer,-1,1,1,-1,5.0,0.0
17,retailer,-19,4,3,-20,95.0,0.0
17,wholesaler,-33,3,1,-35,165.0,0.0
17,distributor,-1,1,1,-1,5.0,0.0
17,manufacturer,-1,1,1,-1,5.0,0.0
